10;	2400
10;	900
10;	1100
10;	700
10;	900
10;	800
10;	900
10;	700
10;	800
10;	900
100;	56700
100;	30000
100;	29300
100;	39100
100;	23300
100;	25500
100;	23600
100;	34600
100;	29100
100;	24100
1000;	2263300
1000;	1865300
1000;	2211600
1000;	2136200
1000;	1701300
1000;	2408800
1000;	2403800
1000;	1649900
1000;	1682600
1000;	1866600
3000;	16869600
3000;	17098700
3000;	19195600
3000;	15400600
3000;	15360800
3000;	15369800
3000;	16498400
3000;	15837900
3000;	20520800
3000;	19122800
7000;	105130500
7000;	99221900
7000;	103537300
7000;	98874000
7000;	98366200
7000;	97892400
7000;	97360900
7000;	93924200
7000;	95526200
7000;	100933700
10000;	210817000
10000;	210302500
10000;	213082000
10000;	211355200
10000;	207353900
10000;	213273800
10000;	212099900
10000;	208165900
10000;	215180100
10000;	209613800
30000;	2098696100
30000;	2103036100
30000;	2114189800
30000;	2110569700
30000;	2099489200
30000;	2120642500
30000;	2104614800
30000;	2090901000
30000;	2102219500
30000;	2101445600
50000;	1691467804
50000;	1686548004
50000;	1682745904
50000;	1986407404
50000;	2065235104
50000;	2032097704
50000;	2102414704
50000;	2024608804
50000;	2035159804
50000;	2007850204
70000;	-405393488
70000;	-381838288
70000;	-376784688
70000;	-321324688
70000;	-295991188
70000;	-349484488
70000;	-349498088
70000;	-367837388
70000;	-288826788
70000;	-312544688
100000;	122324424
100000;	144670124
100000;	277876224
100000;	811236024
100000;	329183724
100000;	170975824
100000;	-1172351364
100000;	-886544668
100000;	903477324
100000;	394698424
200000;	-211368700
200000;	654475208
200000;	1502668896
200000;	1795107096
200000;	1834121196
200000;	1984088596
200000;	1902913096
200000;	1672953196
200000;	1889836196
200000;	-744177000
