10;	1800
10;	1900
10;	1400
10;	1300
10;	1800
10;	4000
10;	2200
10;	1400
10;	2100
10;	2500
100;	22200
100;	19100
100;	15800
100;	13300
100;	16100
100;	13300
100;	12900
100;	18300
100;	17600
100;	12700
1000;	140700
1000;	147200
1000;	134300
1000;	132600
1000;	172700
1000;	133500
1000;	142200
1000;	133100
1000;	291300
1000;	174500
3000;	682700
3000;	417200
3000;	525600
3000;	386700
3000;	420400
3000;	387600
3000;	520600
3000;	579000
3000;	696100
3000;	873000
7000;	942700
7000;	1442400
7000;	1104600
7000;	980100
7000;	982700
7000;	1016100
7000;	996200
7000;	1237300
7000;	1065600
7000;	1157600
10000;	1390300
10000;	1388100
10000;	1447300
10000;	1495300
10000;	1642200
10000;	1420800
10000;	1389400
10000;	1456500
10000;	1426800
10000;	1467200
30000;	4532800
30000;	4974400
30000;	4699500
30000;	4566900
30000;	4454400
30000;	4389100
30000;	4399100
30000;	4597400
30000;	4353600
30000;	4708800
50000;	7706800
50000;	7470300
50000;	7551000
50000;	8356900
50000;	8176700
50000;	8170500
50000;	8989200
50000;	8140100
50000;	8154100
50000;	8238800
70000;	11554900
70000;	16392900
70000;	11739600
70000;	11574700
70000;	11580400
70000;	11844800
70000;	11547900
70000;	11552900
70000;	11926200
70000;	11867500
100000;	16730200
100000;	16645500
100000;	17010200
100000;	16637400
100000;	17424000
100000;	17088100
100000;	23112300
100000;	28027900
100000;	17137800
100000;	17160400
200000;	48372700
200000;	43533200
200000;	43281200
200000;	43572700
200000;	43370100
200000;	41249000
200000;	42909400
200000;	42198900
200000;	44707700
200000;	43697600
